id,library,method_name,number_of_tensors_input
1,tensorflow,constant,1
2,tensorflow,Variable,1
3,tensorflow,convert_to_tensor,1
4,tensorflow,add,2
5,tensorflow,subtract,2
6,tensorflow,multiply,2
7,tensorflow,matmul,2
8,tensorflow,reduce_mean,2
9,tensorflow,reduce_sum,2
10,tensorflow,softmax,2
13,tensorflow,resize_images,1
14,tensorflow,conv2d,1
15,tensorflow,dense,1
16,tensorflow,concat,1


























